seed,attackable_count,selected_available_count,reference_clean__annualized_excess_return_with_cost,reference_clean__information_ratio_with_cost,reference_clean__max_drawdown_with_cost,reference_clean__rank_ic_mean,partial_clean__annualized_excess_return_with_cost,partial_clean__information_ratio_with_cost,partial_clean__max_drawdown_with_cost,partial_clean__rank_ic_mean,partial_fgsm__annualized_excess_return_with_cost,partial_fgsm__information_ratio_with_cost,partial_fgsm__max_drawdown_with_cost,partial_fgsm__rank_ic_mean,partial_pgd__annualized_excess_return_with_cost,partial_pgd__information_ratio_with_cost,partial_pgd__max_drawdown_with_cost,partial_pgd__rank_ic_mean,partial_clean_minus_reference_clean__annualized_excess_return_with_cost,partial_clean_minus_reference_clean__information_ratio_with_cost,partial_clean_minus_reference_clean__max_drawdown_with_cost,partial_clean_minus_reference_clean__rank_ic_mean,partial_fgsm_minus_partial_clean__annualized_excess_return_with_cost,partial_fgsm_minus_partial_clean__information_ratio_with_cost,partial_fgsm_minus_partial_clean__max_drawdown_with_cost,partial_fgsm_minus_partial_clean__rank_ic_mean,partial_pgd_minus_partial_clean__annualized_excess_return_with_cost,partial_pgd_minus_partial_clean__information_ratio_with_cost,partial_pgd_minus_partial_clean__max_drawdown_with_cost,partial_pgd_minus_partial_clean__rank_ic_mean
0,50811.0,50811.0,0.3558367573201775,2.6534604663776977,-0.06930818385370124,0.0753396735420719,0.3739082470694016,2.79169693021167,-0.0554280683255573,0.07535117622179344,0.3193130640304159,2.3687560488582537,-0.09735667724121583,0.06372508166665432,0.2250271813171564,1.7096139486605224,-0.12363185214188327,0.06398626174132,0.018071489749224123,0.13823646383397215,0.013880115528143944,1.150267972153951e-05,-0.054595183038985695,-0.4229408813534161,-0.04192860891565853,-0.011626094555139119,-0.14888106575224522,-1.0820829815511475,-0.06820378381632597,-0.011364914480473443
1,50940.0,50940.0,0.3558367573201772,2.653460466377696,-0.06930818385370086,0.0753396735420719,0.35206136242731234,2.5905715522486985,-0.0721160117463493,0.0753482507707909,0.3691078055604902,2.7643817561360318,-0.08543400068583828,0.06395905442405639,0.2753953029271193,2.19144847761673,-0.07628703712278398,0.06425050794576259,-0.0037753948928648806,-0.06288891412899744,-0.00280782789264844,8.577228718997798e-06,0.01704644313317788,0.17381020388733326,-0.01331798893948899,-0.011389196346734506,-0.07666605950019306,-0.3991230746319685,-0.004171025376434684,-0.011097742825028303
2,50871.0,50871.0,0.35583675732017683,2.6534604663777004,-0.06930818385370102,0.0753396735420719,0.338210109602982,2.493615329988823,-0.07252457257122874,0.07534488060728906,0.33502563501022564,2.4309475599955763,-0.09528344095591021,0.06426738838219886,0.3052117674944737,2.173617769547143,-0.09986788768617735,0.06448195268520163,-0.017626647717194854,-0.15984513638887732,-0.0032163887175277184,5.207065217158191e-06,-0.0031844745927563367,-0.06266776999324675,-0.02275886838468147,-0.01107749222509019,-0.03299834210850827,-0.31999756044168004,-0.027343315114948613,-0.010862927922087429
3,50887.0,50887.0,0.3558367573201775,2.6534604663777053,-0.0693081838537013,0.0753396735420719,0.37494553912894335,2.7715347932926035,-0.06112518417933693,0.07534356046054519,0.35530934189803526,2.814950692692801,-0.06878076637752084,0.063976985990896,0.21931309892945852,1.7310796507440978,-0.0981698724803185,0.06422904866777757,0.01910878180876585,0.11807432691489828,0.008182999674364366,3.886918473292034e-06,-0.019636197230908092,0.04341589940019741,-0.007655582198183908,-0.011366574469649185,-0.15563244019948483,-1.0404551425485058,-0.037044688300981565,-0.011114511792767623
4,50862.0,50862.0,0.35583675732017767,2.6534604663777013,-0.06930818385370136,0.0753396735420719,0.359028283238322,2.6858362222913064,-0.06808604020614661,0.07531454071520083,0.4190270356697687,3.252159305546087,-0.0746192447862673,0.06388896524180387,0.31311437851825996,2.4700191628726977,-0.09264255147638467,0.064102070851694,0.003191525918144311,0.03237575591360509,0.001222143647554741,-2.513282687106877e-05,0.0599987524314467,0.5663230832547805,-0.006533204580120688,-0.011425575473396954,-0.045913904720062015,-0.21581705941860863,-0.024556511270238057,-0.011212469863506824
