attacker,metric,delta_mean,delta_std,degradation_mean,degradation_std
FGSM,annualized_excess_return_with_cost,-0.2530968996998298,0.0463076222975014,0.2530968996998298,0.0463076222975014
FGSM,max_drawdown_with_cost,-0.049301519522546,0.0046111320511594,0.049301519522546,0.0046111320511594
FGSM,rank_ic_mean,-0.0130979901840351,0.0001459254062572,0.0130979901840351,0.0001459254062572
FGSM,information_ratio_with_cost,-1.7747215318345435,0.3547269869020741,1.7747215318345435,0.3547269869020741
PGD,annualized_excess_return_with_cost,-0.3623606335521026,0.035000513939741,0.3623606335521026,0.035000513939741
PGD,max_drawdown_with_cost,-0.0543954326043674,0.0039768908284701,0.0543954326043674,0.0039768908284701
PGD,rank_ic_mean,-0.0145083954460271,0.0001860156776834,0.0145083954460271,0.0001860156776834
PGD,information_ratio_with_cost,-2.6983007426915195,0.2908056921326387,2.6983007426915195,0.2908056921326387
