metric,value,comparison,attacker,seed
topk_overlap,0.12,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.2,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.04,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.04,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.12,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.16,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.28,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.24,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.16,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.34,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.24,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.0,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.08,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.16,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.0,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.26,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.14,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.04,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.08,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.18,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.04,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.2,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.22,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.04,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.18,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.2,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.14,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.0,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.0,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.0,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.18,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.04,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.0,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.04,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.08,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.26,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.6,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.26,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.16,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.18,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.46,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.0,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.0,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.04,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.04,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.18,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.22,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.08,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.18,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.12,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.16,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.04,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.44,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.22,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.0,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.0,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.04,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.04,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.24,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.2,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.16,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.12,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.62,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.42,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.26,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.1,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.1,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.06,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.1,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.08,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.06,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.1,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.12,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.06,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.12,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.08,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.06,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.08,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.06,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.08,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.06,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.22,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.1,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.42,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.14,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.08,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.14,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.06,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.08,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.08,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.08,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.08,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.06,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.08,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.06,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.1,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.06,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.1,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.08,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.06,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.1,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.06,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.08,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.08,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.06,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.1,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.06,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.02,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.04,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.0,partial_pgd_vs_partial_clean,PGD,0
topk_overlap,0.58,partial_fgsm_vs_partial_clean,FGSM,1
topk_overlap,0.54,partial_fgsm_vs_partial_clean,FGSM,1
topk_overlap,0.38,partial_fgsm_vs_partial_clean,FGSM,1
topk_overlap,0.08,partial_fgsm_vs_partial_clean,FGSM,1
topk_overlap,0.86,partial_fgsm_vs_partial_clean,FGSM,1
topk_overlap,0.68,partial_fgsm_vs_partial_clean,FGSM,1
topk_overlap,0.78,partial_fgsm_vs_partial_clean,FGSM,1
topk_overlap,0.16,partial_fgsm_vs_partial_clean,FGSM,1
topk_overlap,0.14,partial_fgsm_vs_partial_clean,FGSM,1
topk_overlap,0.12,partial_fgsm_vs_partial_clean,FGSM,1
