seed,attackable_count,selected_available_count,partial_clean_minus_reference_clean__annualized_excess_return_with_cost,partial_clean_minus_reference_clean__max_drawdown_with_cost,partial_clean_minus_reference_clean__rank_ic_mean,partial_clean_minus_reference_clean__information_ratio_with_cost,partial_fgsm_minus_partial_clean__annualized_excess_return_with_cost,partial_fgsm_minus_partial_clean__max_drawdown_with_cost,partial_fgsm_minus_partial_clean__rank_ic_mean,partial_fgsm_minus_partial_clean__information_ratio_with_cost,partial_pgd_minus_partial_clean__annualized_excess_return_with_cost,partial_pgd_minus_partial_clean__max_drawdown_with_cost,partial_pgd_minus_partial_clean__rank_ic_mean,partial_pgd_minus_partial_clean__information_ratio_with_cost
0,50874,50874,0.0047714527063471,-0.0009219045013755,4.26517511382396e-05,0.0893919445492907,-0.280022516853823,-0.0500136062792865,-0.0129882169555234,-1.975459292804741,-0.3983178898512539,-0.0605773605235573,-0.0143777395508051,-2.995797679189468
1,50892,50892,0.0119501306143449,0.0064585604723725,0.0001087610391041,0.1559779701754746,-0.2997651400957899,-0.0550712405956026,-0.0130403289416994,-2.1357568045808337,-0.4005679217849842,-0.0530893596273622,-0.0144139099205018,-3.018505781534643
2,50888,50888,-0.0116394974042177,-0.0027970832660624,-1.8800834260535024e-06,-0.0587496922507209,-0.2440818139201943,-0.0480845038183288,-0.0132884983983988,-1.7202769340075372,-0.3519959334505186,-0.0553703623738111,-0.0147622771020849,-2.589138344921189
3,50846,50846,-0.051297710944371,0.0045998292986261,0.0003627444079262,-0.3194805974662409,-0.1789256003118348,-0.0424315969951882,-0.0129575302002298,-1.204018247735013,-0.33200758991003,-0.0530939636304743,-0.0143398501746657,-2.4988644660857475
4,50875,50875,-0.0413871164982423,-0.0066727898945503,0.0003212068211384,-0.3180159745946675,-0.2626894273175067,-0.050906649924324,-0.0132153764243242,-1.8380963800445933,-0.328913832763726,-0.0498461168666323,-0.014648200482078,-2.389197441726551
