mode,clean_loss,fgsm_loss,pgd_loss,objective_clean,objective_fgsm,objective_pgd,ret_penalty_fgsm,ret_penalty_pgd,candle_penalty_fgsm,candle_penalty_pgd,vol_penalty_fgsm,vol_penalty_pgd,physical_constraints_satisfied_fgsm,physical_constraints_satisfied_pgd,strict_attack_success_fgsm,strict_attack_success_pgd
none,0.0338435098528862,0.13246884942054749,0.2707710862159729,0.0338435098528862,0.13246884942054749,0.2707710862159729,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
physical,0.0338435098528862,0.10416337847709656,0.14425639808177948,0.0338435098528862,0.10416337847709656,0.14425639808177948,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True
physical_stat,0.0338435098528862,0.10416337847709656,0.10394775867462158,0.0338435098528862,-4.149833679199219,0.03993237763643265,4.87780237197876,0.06690289825201035,0.879387617111206,0.026232652366161346,0.0,0.0,True,True,False,True
