datetime,instrument,label,reference_score,clean_pred,fgsm_pred,pgd_pred,clean_abs_error,fgsm_abs_error,pgd_abs_error,fgsm_abs_shift,pgd_abs_shift
2025-01-02 00:00:00,BJ920239,0.0625227689743042,-0.048871465027332306,-0.04970792680978775,-0.13332802057266235,-0.1944357454776764,0.11223069578409195,0.19585078954696655,0.2569585144519806,0.0836200937628746,0.14472782611846924
2025-01-02 00:00:00,SH600007,0.00041925907135009766,-0.07079962641000748,-0.05102652311325073,-0.09435813874006271,-0.3839062452316284,0.05144578218460083,0.09477739781141281,0.3843255043029785,0.04333161562681198,0.3328797221183777
2025-01-02 00:00:00,SH600177,-0.0011696219444274902,-0.3050050735473633,-0.2718428373336792,-0.40722888708114624,-0.7472601532936096,0.2706732153892517,0.40605926513671875,0.7460905313491821,0.13538604974746704,0.4754173159599304
2025-01-02 00:00:00,SH600303,-0.0036363601684570312,0.04132777824997902,0.04232516884803772,0.11361328512430191,0.18553683161735535,0.04596152901649475,0.11724964529275894,0.18917319178581238,0.07128811627626419,0.14321166276931763
2025-01-02 00:00:00,SH600387,-0.03272724151611328,0.0034907087683677673,0.003187738358974457,0.19205838441848755,0.2680949568748474,0.03591497987508774,0.22478562593460083,0.3008221983909607,0.1888706386089325,0.26490721106529236
2025-01-02 00:00:00,SH600689,-0.02178424596786499,-0.006419483572244644,-0.0022004172205924988,0.0908590629696846,0.13341295719146729,0.01958382874727249,0.11264330893754959,0.15519720315933228,0.0930594801902771,0.13561338186264038
2025-01-02 00:00:00,SH601187,0.0,-0.019856411963701248,0.0001413486897945404,0.11270950734615326,0.21456113457679749,0.0001413486897945404,0.11270950734615326,0.21456113457679749,0.11256815493106842,0.21441978216171265
2025-01-02 00:00:00,SH601398,0.005961298942565918,0.040648557245731354,0.04299154505133629,0.09221239387989044,0.2062155306339264,0.03703024610877037,0.08625109493732452,0.20025423169136047,0.04922084882855415,0.1632239818572998
2025-01-02 00:00:00,SH601949,0.013452887535095215,-0.067466601729393,-0.061404384672641754,-0.25366073846817017,-0.40748894214630127,0.07485727220773697,0.2671136260032654,0.4209418296813965,0.192256361246109,0.3460845649242401
2025-01-02 00:00:00,SH603588,0.016161680221557617,0.0643186941742897,0.060872048139572144,0.2114415466785431,0.3185300827026367,0.044710367918014526,0.19527986645698547,0.3023684024810791,0.15056949853897095,0.2576580345630646
2025-01-02 00:00:00,SH603639,0.015484929084777832,-0.0872097983956337,-0.08122231066226959,-0.1200944110751152,-0.3419443964958191,0.09670723974704742,0.13557934761047363,0.3574293255805969,0.03887210041284561,0.2607221007347107
2025-01-02 00:00:00,SH603888,0.009465217590332031,0.04719828814268112,0.04436689615249634,0.14540591835975647,0.2354016900062561,0.03490167856216431,0.13594070076942444,0.22593647241592407,0.10103902220726013,0.19103479385375977
2025-01-02 00:00:00,SH688039,-0.020251095294952393,0.0060578808188438416,0.01628117263317108,0.08807311207056046,0.15278562903404236,0.036532267928123474,0.10832420736551285,0.17303672432899475,0.07179193943738937,0.13650445640087128
2025-01-02 00:00:00,SZ000001,0.005272388458251953,-0.07123075425624847,-0.06667953729629517,-0.20387625694274902,-0.3966469466686249,0.07195192575454712,0.20914864540100098,0.40191933512687683,0.13719671964645386,0.3299674093723297
2025-01-02 00:00:00,SZ000532,-0.008196651935577393,-0.040169306099414825,-0.020362146198749542,-0.11756715923547745,-0.18146198987960815,0.01216549426317215,0.10937050729990005,0.17326533794403076,0.0972050130367279,0.1610998511314392
2025-01-02 00:00:00,SZ001227,0.0,-0.07982509583234787,-0.07584398984909058,-0.2854774296283722,-0.46308907866477966,0.07584398984909058,0.2854774296283722,0.46308907866477966,0.20963343977928162,0.3872450888156891
