datetime,reference_clean_excess_return_with_cost,reference_clean_rank_ic,partial_clean_excess_return_with_cost,partial_clean_rank_ic,partial_fgsm_excess_return_with_cost,partial_fgsm_rank_ic,partial_pgd_excess_return_with_cost,partial_pgd_rank_ic,partial_clean_minus_reference_clean_excess_return_with_cost,fgsm_minus_partial_clean_excess_return_with_cost,pgd_minus_partial_clean_excess_return_with_cost,partial_clean_minus_reference_clean_rank_ic,fgsm_minus_partial_clean_rank_ic,pgd_minus_partial_clean_rank_ic
2025-01-14,-0.026334404945373535,0.07144237299639421,-0.026334404945373535,0.07144237299639421,-0.026334404945373535,0.07144237299639421,-0.026334404945373535,0.07144237299639421,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-15,0.005940436859396547,0.11843670334363024,0.005940436859396547,0.11843670334363024,0.005940436859396547,0.11843670334363024,0.005940436859396547,0.11843670334363024,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,0.008930351475816223,0.024043619547947738,0.008930351475816223,0.024043619547947738,0.008930351475816223,0.024043619547947738,0.008930351475816223,0.024043619547947738,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-17,-0.007535084181242085,-0.1293638579206663,-0.007535084181242085,-0.1293638579206663,-0.007535084181242085,-0.1293638579206663,-0.007535084181242085,-0.1293638579206663,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-20,-0.005162481902703627,0.2098775075131574,-0.005162481902703627,0.2098775075131574,-0.005162481902703627,0.2098775075131574,-0.005162481902703627,0.2098775075131574,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-21,-0.009844481862964759,0.18504129008158587,-0.009844481862964759,0.18504129008158587,-0.009844481862964759,0.18504129008158587,-0.009844481862964759,0.18504129008158587,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22,0.00564738136407194,-0.09199088238335414,0.00564738136407194,-0.09199088238335414,0.00564738136407194,-0.09199088238335414,0.00564738136407194,-0.09199088238335414,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23,-0.009140497369865495,0.3235204797088114,-0.009140497369865495,0.3235204797088114,-0.009140497369865495,0.3235204797088114,-0.009140497369865495,0.3235204797088114,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-24,-0.0007569686147490937,-0.20387721819835486,-0.0007569686147490937,-0.20387721819835486,-0.0007569686147490937,-0.20387721819835486,-0.0007569686147490937,-0.20387721819835486,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27,-0.0032404637821405275,-0.19756127696980244,-0.0032404637821405275,-0.19756127696980244,-0.0032404637821405275,-0.19756127696980244,-0.0032404637821405275,-0.19756127696980244,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-05,0.001572062806876472,-0.055123315856685486,0.001572062806876472,-0.055123315856685486,0.001572062806876472,-0.055123315856685486,0.001572062806876472,-0.055123315856685486,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-06,0.012410814719096651,-0.22883013853629416,0.012410814719096651,-0.22883013853629416,0.012410814719096651,-0.22883013853629416,0.012410814719096651,-0.22883013853629416,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,0.008616007581875966,0.11163392656118837,0.008616007581875966,0.11163392656118837,0.008616007581875966,0.11163392656118837,0.008616007581875966,0.11163392656118837,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-10,0.02013936685204518,-0.1834777976111782,0.02013936685204518,-0.1834777976111782,0.02013936685204518,-0.1834777976111782,0.02013936685204518,-0.1834777976111782,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-11,0.010180381435047847,0.2563204504073529,0.010180381435047847,0.2563204504073529,0.010180381435047847,0.2563204504073529,0.010180381435047847,0.2563204504073529,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,0.013935079869822108,0.11265551251366467,0.013935079869822108,0.11265551251366467,0.013935079869822108,0.11265551251366467,0.013935079869822108,0.11265551251366467,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-13,-7.999310778782724e-05,-0.049570324742827514,-7.999310778782724e-05,-0.049570324742827514,-7.999310778782724e-05,-0.049570324742827514,-7.999310778782724e-05,-0.049570324742827514,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-14,0.0012984300496051181,0.2069155669232105,0.0012984300496051181,0.2069155669232105,0.0012984300496051181,0.2069155669232105,0.0012984300496051181,0.2069155669232105,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-17,0.004449534291804176,-0.287820850804307,0.004449534291804176,-0.287820850804307,0.004449534291804176,-0.287820850804307,0.004449534291804176,-0.287820850804307,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-18,-0.008355302464364788,0.056878375634274746,-0.008355302464364788,0.056878375634274746,-0.008355302464364788,0.056878375634274746,-0.008355302464364788,0.056878375634274746,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-19,0.004460406073837364,-0.27824507743554117,0.004460406073837364,-0.27824507743554117,0.004460406073837364,-0.27824507743554117,0.004460406073837364,-0.27824507743554117,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-20,0.010714877330439717,0.20987279917251786,0.010714877330439717,0.20987279917251786,0.010714877330439717,0.20987279917251786,0.010714877330439717,0.20987279917251786,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-21,-0.008390430836472978,-0.010211588604287135,-0.008390430836472978,-0.010211588604287135,-0.008390430836472978,-0.010211588604287135,-0.008390430836472978,-0.010211588604287135,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-24,0.009403184426612443,0.03390671881099477,0.009403184426612443,0.03390671881099477,0.009403184426612443,0.03390671881099477,0.009403184426612443,0.03390671881099477,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-25,0.004576835851550998,0.23565666619766149,0.004576835851550998,0.23565666619766149,0.004576835851550998,0.23565666619766149,0.004576835851550998,0.23565666619766149,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-26,0.004244153087103397,0.4051010896685979,0.004244153087103397,0.4051010896685979,0.004244153087103397,0.4051010896685979,0.004244153087103397,0.4051010896685979,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-27,0.0034993367913582715,0.026472474799376196,0.0034993367913582715,0.026472474799376196,0.0034993367913582715,0.026472474799376196,0.0034993367913582715,0.026472474799376196,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-28,0.0026579903184270493,-0.0968405331759632,0.0026579903184270493,-0.0968405331759632,0.0026579903184270493,-0.0968405331759632,0.0026579903184270493,-0.0968405331759632,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,-0.0027819473263350483,-0.042677517878481806,-0.0027819473263350483,-0.042677517878481806,-0.0027819473263350483,-0.042677517878481806,-0.0027819473263350483,-0.042677517878481806,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,0.008684171839726385,-0.009468275191223625,0.008684171839726385,-0.009468275191223625,0.008684171839726385,-0.009468275191223625,0.008684171839726385,-0.009468275191223625,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,-0.009308540713556603,0.09672541891705312,-0.009308540713556603,0.09672541891705312,-0.009308540713556603,0.09672541891705312,-0.009308540713556603,0.09672541891705312,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-06,-0.0011417719491864599,-0.030784006548246527,-0.0011417719491864599,-0.030784006548246527,-0.0011417719491864599,-0.030784006548246527,-0.0011417719491864599,-0.030784006548246527,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-07,-0.0011939549794155954,0.10788874896536894,-0.0011939549794155954,0.10788874896536894,-0.0011939549794155954,0.10788874896536894,-0.0011939549794155954,0.10788874896536894,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-10,0.00461594929689302,0.031016723162345675,0.00461594929689302,0.031016723162345675,0.00461594929689302,0.031016723162345675,0.00461594929689302,0.031016723162345675,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-11,0.005376050205273391,0.27901270336731815,0.005376050205273391,0.27901270336731815,0.005376050205273391,0.27901270336731815,0.005376050205273391,0.27901270336731815,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-12,0.0065532977473821506,0.0272721948586264,0.0065532977473821506,0.0272721948586264,0.0065532977473821506,0.0272721948586264,0.0065532977473821506,0.0272721948586264,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13,0.00805664658088212,0.018308480569657438,0.00805664658088212,0.018308480569657438,0.00805664658088212,0.018308480569657438,0.00805664658088212,0.018308480569657438,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-14,-0.013017235481968849,0.10398355463019343,-0.013017235481968849,0.10398355463019343,-0.013017235481968849,0.10398355463019343,-0.013017235481968849,0.10398355463019343,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-17,0.0076375599913484525,0.2935647667895234,0.0076375599913484525,0.2935647667895234,0.0076375599913484525,0.2935647667895234,0.0076375599913484525,0.2935647667895234,0.0,0.0,0.0,0.0,0.0,0.0
