ratio_pct,ratio_label,metric,mean,std,min,max,negative_ratio,positive_ratio
1,1%,attackable_count,10281.0,17.349351572897472,10256.0,10297.0,0.0,1.0
1,1%,partial_clean_minus_reference_clean__annualized_excess_return_with_cost,-5.104354952889523e-05,0.009283056891718912,-0.013637360420006628,0.01052296676607789,0.4,0.6
1,1%,partial_clean_minus_reference_clean__information_ratio_with_cost,0.014059032398376737,0.05755057370872456,-0.07865856533263926,0.07788826793718906,0.2,0.8
1,1%,partial_clean_minus_reference_clean__max_drawdown_with_cost,-0.00039865581286059327,0.0037227661577015356,-0.004717224360698935,0.003338591422799353,0.4,0.6
1,1%,partial_clean_minus_reference_clean__rank_ic_mean,5.212857323094178e-05,6.99027971013687e-05,-9.2162207997043e-06,0.0001301771504404886,0.2,0.8
1,1%,partial_fgsm_minus_partial_clean__annualized_excess_return_with_cost,-0.20258796145469735,0.037445511877158194,-0.2452124984474377,-0.1561961350721663,1.0,0.0
1,1%,partial_fgsm_minus_partial_clean__information_ratio_with_cost,-1.3537567724005621,0.3213167164106633,-1.720743706674702,-0.933762694134729,1.0,0.0
1,1%,partial_fgsm_minus_partial_clean__max_drawdown_with_cost,-0.04261880626205758,0.013778997470786711,-0.05898309194384599,-0.02806510765909287,1.0,0.0
1,1%,partial_fgsm_minus_partial_clean__rank_ic_mean,-0.002761476988798489,0.00012421924130964591,-0.002916855935874804,-0.002603925701278209,1.0,0.0
1,1%,partial_pgd_minus_partial_clean__annualized_excess_return_with_cost,-0.3013856614583959,0.019828969211220387,-0.32461642301814786,-0.27698458212725907,1.0,0.0
1,1%,partial_pgd_minus_partial_clean__information_ratio_with_cost,-2.138249210533388,0.16635511036852182,-2.3090614058702763,-1.8989236401131944,1.0,0.0
1,1%,partial_pgd_minus_partial_clean__max_drawdown_with_cost,-0.043812429385448576,0.01617320536481032,-0.06189911906975959,-0.018490852186573023,1.0,0.0
1,1%,partial_pgd_minus_partial_clean__rank_ic_mean,-0.0030775485869503627,0.00012439483758876321,-0.0032418891920187043,-0.002926641683230674,1.0,0.0
1,1%,selected_available_count,10281.0,17.349351572897472,10256.0,10297.0,0.0,1.0
5,5%,attackable_count,50875.0,18.027756377319946,50846.0,50892.0,0.0,1.0
5,5%,partial_clean_minus_reference_clean__annualized_excess_return_with_cost,-0.017520548305227812,0.02788615596511925,-0.05129771094437102,0.011950130614344967,0.6,0.4
5,5%,partial_clean_minus_reference_clean__information_ratio_with_cost,-0.09017526991737279,0.22266324853988953,-0.3194805974662409,0.15597797017547466,0.6,0.4
5,5%,partial_clean_minus_reference_clean__max_drawdown_with_cost,0.00013332242180206234,0.005384753158102373,-0.0066727898945503905,0.006458560472372532,0.6,0.4
5,5%,partial_clean_minus_reference_clean__rank_ic_mean,0.0001666967871762265,0.0001654311815900907,-1.8800834260535026e-06,0.00036274440792628815,0.2,0.8
