datetime,instrument,label,reference_score,clean_pred,fgsm_pred,pgd_pred,clean_abs_error,fgsm_abs_error,pgd_abs_error,fgsm_abs_shift,pgd_abs_shift
2025-01-02 00:00:00,BJ920239,0.0625227689743042,0.0592125803232193,0.06140446662902832,-0.061434805393218994,-0.07169730961322784,0.001118302345275879,0.1239575743675232,0.13422007858753204,0.12283927202224731,0.13310177624225616
2025-01-02 00:00:00,SH600007,0.00041925907135009766,0.06708811223506927,0.06363190710544586,0.15413729846477509,0.1964246779680252,0.06321264803409576,0.153718039393425,0.1960054188966751,0.09050539135932922,0.13279277086257935
2025-01-02 00:00:00,SH600177,-0.0011696219444274902,0.05274389684200287,0.05492013692855835,0.14886163175106049,0.2108033001422882,0.05608975887298584,0.15003125369548798,0.2119729220867157,0.09394149482250214,0.15588316321372986
2025-01-02 00:00:00,SH600303,-0.0036363601684570312,0.07093167304992676,0.0702066719532013,0.15986652672290802,0.19722147285938263,0.07384303212165833,0.16350288689136505,0.20085783302783966,0.08965985476970673,0.12701480090618134
2025-01-02 00:00:00,SH600387,-0.03272724151611328,0.07957302033901215,0.07556094229221344,0.20854227244853973,0.22360379993915558,0.10828818380832672,0.24126951396465302,0.25633102655410767,0.1329813301563263,0.14804285764694214
2025-01-02 00:00:00,SH600689,-0.02178424596786499,-0.08204148709774017,-0.08607317507266998,-0.23784758150577545,-0.24704860150814056,0.06428892910480499,0.21606333553791046,0.22526435554027557,0.15177440643310547,0.16097542643547058
2025-01-02 00:00:00,SH601187,0.0,0.09475179761648178,0.09669537097215652,0.1879439353942871,0.2565942108631134,0.09669537097215652,0.1879439353942871,0.2565942108631134,0.09124856442213058,0.15989884734153748
2025-01-02 00:00:00,SH601398,0.005961298942565918,0.14253713190555573,0.14635016024112701,0.2587868273258209,0.33928412199020386,0.1403888612985611,0.252825528383255,0.33332282304763794,0.11243666708469391,0.19293396174907684
2025-01-02 00:00:00,SH601949,0.013452887535095215,0.04795394837856293,0.05496220290660858,0.16601459681987762,0.197210431098938,0.04150931537151337,0.1525617092847824,0.18375754356384277,0.11105239391326904,0.1422482281923294
2025-01-02 00:00:00,SH603588,0.016161680221557617,0.08677715063095093,0.08996237814426422,0.18275216221809387,0.19091176986694336,0.0738006979227066,0.16659048199653625,0.17475008964538574,0.09278978407382965,0.10094939172267914
