unit,split,batch_idx,factor_name,factor_grad_mean_abs
full_e2e,train,0,CNTN60,6.514406413771212e-05
full_e2e,train,0,CNTD5,5.997822881909087e-05
full_e2e,train,0,CNTD10,5.0188111345050856e-05
full_e2e,train,0,CNTD20,5.305839658831246e-05
full_e2e,train,0,CNTD30,0.00014763514627702534
full_e2e,train,0,CNTD60,4.883107612840831e-05
full_e2e,train,0,SUMP5,8.497558883391321e-05
full_e2e,train,0,SUMP10,8.442458783974871e-05
full_e2e,train,0,SUMP20,0.00016980359214358032
full_e2e,train,0,SUMP30,3.880161966662854e-05
full_e2e,train,0,SUMP60,0.00010078681953018531
full_e2e,train,0,SUMN5,0.0001601245312485844
full_e2e,train,0,SUMN10,0.00015748456644359976
full_e2e,train,0,SUMN20,0.00011663243640214205
full_e2e,train,0,SUMN30,2.0431256416486576e-05
full_e2e,train,0,SUMN60,5.145344039192423e-05
full_e2e,train,0,SUMD5,5.721666639146861e-06
full_e2e,train,0,SUMD10,0.00012084769696230069
full_e2e,train,0,SUMD20,0.00014517232193611562
full_e2e,train,0,SUMD30,0.00014315378211904317
full_e2e,train,0,SUMD60,2.9245376936160028e-05
full_e2e,train,0,VMA5,0.00014899825328029692
full_e2e,train,0,VMA10,6.020827640895732e-05
full_e2e,train,0,VMA20,5.290132685331628e-05
full_e2e,train,0,VMA30,4.106960477656685e-05
full_e2e,train,0,VMA60,7.986893251654692e-06
full_e2e,train,0,VSTD5,0.00010938265040749684
full_e2e,train,0,VSTD10,6.073994518374093e-05
full_e2e,train,0,VSTD20,5.678251545759849e-05
full_e2e,train,0,VSTD30,3.7048339436296374e-06
full_e2e,train,0,VSTD60,4.039180203108117e-05
full_e2e,train,0,WVMA5,0.0001107090720324777
full_e2e,train,0,WVMA10,0.00012419950508046895
full_e2e,train,0,WVMA20,0.00013369650696404278
full_e2e,train,0,WVMA30,7.357478170888498e-05
full_e2e,train,0,WVMA60,6.0390197177184746e-05
full_e2e,train,0,VSUMP5,8.664990309625864e-05
full_e2e,train,0,VSUMP10,3.226374974474311e-05
full_e2e,train,0,VSUMP20,9.329301974503323e-05
full_e2e,train,0,VSUMP30,4.138006624998525e-05
full_e2e,train,0,VSUMP60,3.5269455111119896e-05
full_e2e,train,0,VSUMN5,0.00013334903633221984
full_e2e,train,0,VSUMN10,2.990267239511013e-05
full_e2e,train,0,VSUMN20,7.649569306522608e-05
full_e2e,train,0,VSUMN30,7.109015132300556e-05
full_e2e,train,0,VSUMN60,2.2607462597079575e-05
full_e2e,train,0,VSUMD5,0.00014723157801199704
full_e2e,train,0,VSUMD10,2.7685638997354545e-05
full_e2e,train,0,VSUMD20,6.237548950593919e-05
full_e2e,train,0,VSUMD30,6.553090497618541e-05
full_e2e,train,0,VSUMD60,6.817170651629567e-05
full_e2e,train,1,KMID,4.0761162381386384e-05
full_e2e,train,1,KLEN,7.817753794370219e-05
full_e2e,train,1,KMID2,3.713737169164233e-05
full_e2e,train,1,KUP,3.7856043491046876e-05
full_e2e,train,1,KUP2,0.00017301442858297378
full_e2e,train,1,KLOW,0.0001664759765844792
full_e2e,train,1,KLOW2,3.017017661477439e-05
full_e2e,train,1,KSFT,2.4934015527833253e-06
full_e2e,train,1,KSFT2,8.758691546972841e-05
full_e2e,train,1,OPEN0,7.262985309353098e-05
full_e2e,train,1,HIGH0,0.00017353662406094372
full_e2e,train,1,LOW0,1.3011941518925596e-05
full_e2e,train,1,ROC5,0.00016955731553025544
full_e2e,train,1,ROC10,7.86440068623051e-05
full_e2e,train,1,ROC20,0.00017410438158549368
full_e2e,train,1,ROC30,6.982540799072012e-05
full_e2e,train,1,ROC60,0.00017399985517840832
full_e2e,train,1,MA5,0.00012198781769257039
full_e2e,train,1,MA10,2.2248745153774507e-05
full_e2e,train,1,MA20,8.606990741100162e-05
full_e2e,train,1,MA30,0.00015417793474625796
full_e2e,train,1,MA60,0.00015580558101646602
full_e2e,train,1,STD5,2.0689029042841867e-05
full_e2e,train,1,STD10,4.036753307445906e-05
full_e2e,train,1,STD20,0.00013768518692813814
full_e2e,train,1,STD30,5.382073504733853e-05
full_e2e,train,1,STD60,9.264430264011025e-05
full_e2e,train,1,BETA5,6.809116166550666e-05
full_e2e,train,1,BETA10,4.6364959416678175e-05
full_e2e,train,1,BETA20,4.0548144170315936e-05
full_e2e,train,1,BETA30,0.00015888780762907118
full_e2e,train,1,BETA60,0.00010447077511344105
