unit,split,batch_idx,loss,grad_is_none,grad_finite_rate,grad_mean_abs,grad_max_abs
full_e2e,train,0,0.36547204852104187,False,1.0,15436.474609375,123003840.0
full_e2e,train,1,0.409610390663147,False,1.0,0.00028684825520031154,0.05933281034231186
full_e2e,train,2,0.41105037927627563,False,1.0,0.00027568041696213186,0.06058111414313316
full_e2e,train,3,0.45030301809310913,False,1.0,0.0002476016234140843,0.030735734850168228
full_e2e,train,4,0.39119449257850647,False,1.0,0.0002628742658998817,0.03729137033224106
full_e2e,train,5,0.43792402744293213,False,1.0,11878.083984375,94649208.0
full_e2e,train,6,0.41265812516212463,False,1.0,43210.046875,175099056.0
full_e2e,train,7,0.4166548252105713,False,1.0,39314.765625,167297632.0
full_e2e,train,8,0.41271093487739563,False,1.0,17457.0078125,139104256.0
full_e2e,train,9,0.4101071059703827,False,1.0,0.00027410194161348045,0.043948497623205185
full_e2e,train,10,0.40735527873039246,False,1.0,8663.505859375,69034192.0
full_e2e,train,11,0.41766980290412903,False,1.0,15098.0078125,120306816.0
full_e2e,train,12,0.40379804372787476,False,1.0,0.00025841916794888675,0.030246369540691376
full_e2e,train,13,0.4351786971092224,False,1.0,59277.21484375,162249120.0
full_e2e,train,14,0.3927730619907379,False,1.0,73194.8203125,154783216.0
full_e2e,train,15,0.41340523958206177,False,1.0,19382.345703125,154446096.0
full_e2e,train,16,0.4187304973602295,False,1.0,15280.1123046875,121757904.0
full_e2e,train,17,0.41224321722984314,False,1.0,28370.490234375,113033568.0
full_e2e,train,18,0.36017942428588867,False,1.0,25385.806640625,151759856.0
full_e2e,train,19,0.435165137052536,False,1.0,0.00021656957687810063,0.030154986307024956
full_e2e,test,0,0.34384700655937195,False,1.0,21292.5546875,98242904.0
full_e2e,test,1,0.4117948114871979,False,1.0,15007.150390625,119582816.0
full_e2e,test,2,0.3924131989479065,False,1.0,100195.0,203239296.0
full_e2e,test,3,0.36972349882125854,False,1.0,19893.501953125,158519168.0
full_e2e,test,4,0.36181336641311646,False,1.0,0.00020607707847375423,0.023687567561864853
full_e2e,test,5,0.3586985468864441,False,1.0,0.0001704268652247265,0.027417268604040146
full_e2e,test,6,0.41460302472114563,False,1.0,0.0002009682939387858,0.04289061203598976
full_e2e,test,7,0.3315814137458801,False,1.0,12679.0029296875,101031240.0
full_e2e,test,8,0.40585505962371826,False,1.0,0.00021013988589402288,0.03867111727595329
full_e2e,test,9,0.3703172206878662,False,1.0,20806.400390625,165793504.0
subset_e2e,train,0,0.25130268931388855,False,1.0,9915.27734375,73835616.0
subset_e2e,train,1,0.2436913102865219,False,1.0,12965.166015625,91436608.0
subset_e2e,train,2,0.25463175773620605,False,1.0,26263.046875,68105944.0
subset_e2e,train,3,0.2615201473236084,False,1.0,10476.3271484375,67048488.0
subset_e2e,train,4,0.2525427043437958,False,1.0,4906.306640625,62800712.0
subset_e2e,train,5,0.2649642825126648,False,1.0,9920.84375,76199480.0
subset_e2e,train,6,0.24775102734565735,False,1.0,9084.384765625,62231760.0
subset_e2e,train,7,0.23655271530151367,False,1.0,16157.01953125,73139104.0
subset_e2e,train,8,0.2577422261238098,False,1.0,16432.47265625,79681992.0
subset_e2e,train,9,0.24882814288139343,False,1.0,13943.2353515625,89236680.0
subset_e2e,train,10,0.2638802230358124,False,1.0,74805.09375,89901480.0
subset_e2e,train,11,0.26392704248428345,False,1.0,10853.5498046875,75237400.0
subset_e2e,train,12,0.2810346186161041,False,1.0,4179.41064453125,53496444.0
subset_e2e,train,13,0.27841106057167053,False,1.0,42415.90625,82271184.0
subset_e2e,train,14,0.2505553364753723,False,1.0,22985.490234375,54616676.0
subset_e2e,train,15,0.23850347101688385,False,1.0,26209.52734375,70692088.0
subset_e2e,train,16,0.26257941126823425,False,1.0,8364.587890625,53533344.0
subset_e2e,train,17,0.25471240282058716,False,1.0,13602.3798828125,64125640.0
subset_e2e,train,18,0.26005733013153076,False,1.0,34723.44921875,80267968.0
subset_e2e,train,19,0.2712561786174774,False,1.0,11457.1533203125,77588968.0
subset_e2e,test,0,0.2244592308998108,False,1.0,7333.177734375,55965196.0
subset_e2e,test,1,0.2390015870332718,False,1.0,26569.41015625,79334864.0
subset_e2e,test,2,0.2529798746109009,False,1.0,76347.046875,112434744.0
subset_e2e,test,3,0.2136911302804947,False,1.0,12010.9677734375,84625968.0
subset_e2e,test,4,0.23533442616462708,False,1.0,2007.752685546875,25699236.0
subset_e2e,test,5,0.2420673817396164,False,1.0,4810.22509765625,61570872.0
subset_e2e,test,6,0.2597125470638275,False,1.0,0.00010591887985356152,0.013992232270538807
subset_e2e,test,7,0.23250897228717804,False,1.0,17637.5390625,75519680.0
subset_e2e,test,8,0.24033485352993011,False,1.0,14563.0224609375,63518588.0
subset_e2e,test,9,0.22797445952892303,False,1.0,42453.57421875,100018208.0
