unit,split,batch_idx,column,grad_mean_abs,grad_mean_abs_scaled,relative_raw_score,relative_scaled_score
full_e2e,train,0,open,0.0003432315425015986,0.011191442680904995,1.2106741100117646,1.2271909008466095
full_e2e,train,0,high,0.00027239491464570165,0.009119561327568748,0.9608134160888767,1.0
full_e2e,train,0,low,0.00028350448701530695,0.009079609067101924,1.0,0.9956190589621842
full_e2e,train,0,close,0.003205619752407074,0.10501939939493354,11.30712175371671,11.51583893377155
full_e2e,train,0,volume,1.0047175313943058e-09,0.006023469482887234,3.5439210926494404e-06,0.6604999151305752
full_e2e,test,0,open,0.0007848177920095623,0.01252244217461046,1.103292382238873,1.0
full_e2e,test,0,high,0.0005140642169862986,0.008375552802376784,0.7226685484924174,0.6688434001602668
full_e2e,test,0,low,0.0007113416213542223,0.011141982005520967,1.0,0.8897611065125614
full_e2e,test,0,close,0.006233020219951868,0.09962790694420276,8.76234432632482,7.9559486524282494
full_e2e,test,0,volume,3.737909148870955e-10,0.018216748082259704,5.254731392990727e-07,1.4547280656799184
subset_e2e,train,0,open,0.0002467412850819528,0.00804527150646317,1.0,1.0
subset_e2e,train,0,high,0.0005357969785109162,0.017938049287784086,2.1714930208495766,2.229638772709355
subset_e2e,train,0,low,0.00018529908265918493,0.005934450099010835,0.7509853188842701,0.7376320481221043
subset_e2e,train,0,close,0.0006488924846053123,0.021258385045189954,2.6298496596943184,2.642345261823921
subset_e2e,train,0,volume,8.620797409264469e-10,0.005168329255765602,3.493860950915106e-06,0.6424058220550574
subset_e2e,test,0,open,0.0006115584401413798,0.009757940353844696,1.0,0.45355459318478547
subset_e2e,test,0,high,0.002101406455039978,0.03423782504572159,3.436149870737089,1.5913934956597362
subset_e2e,test,0,low,0.0005804431275464594,0.009091675066107918,0.9491212768027089,0.42258620533093527
subset_e2e,test,0,close,0.002556613879278302,0.04086463394449935,4.180489895106779,1.8994113257763374
subset_e2e,test,0,volume,4.4145503919068574e-10,0.021514367841203086,7.218525822137788e-07,1.0
