split,batch_idx,group_name,factor_name,loss,grad_is_none,grad_finite_rate,grad_mean_abs,grad_max_abs,open_grad_mean_abs,open_grad_mean_abs_scaled,open_relative_scaled_score,high_grad_mean_abs,high_grad_mean_abs_scaled,high_relative_scaled_score,low_grad_mean_abs,low_grad_mean_abs_scaled,low_relative_scaled_score,close_grad_mean_abs,close_grad_mean_abs_scaled,close_relative_scaled_score,volume_grad_mean_abs,volume_grad_mean_abs_scaled,volume_relative_scaled_score
train,0,greater_less_pair,KUP,0.000131501947180368,False,1.0,2.1643938907800475e-07,1.1868726687680464e-05,2.3875935539763304e-07,7.785011893101258e-06,1.0,5.350101446310873e-07,1.7911706726172604e-05,2.300793752421263,0.0,0.0,0.0,3.084273316744657e-07,1.0104396538333131e-05,1.297929492861432,0.0,0.0,0.0
train,0,greater_less_pair,KUP2,0.07581501454114914,False,1.0,0.00027231770218349993,0.006135741714388132,0.00031982510699890554,0.010428250057687771,1.0,0.0003659870126284659,0.012252949035778338,1.1749765270296129,0.00031480719917453825,0.010082120145984752,0.9668084376776284,0.00036096919211559,0.011825721914643261,1.1340082803178722,0.0,0.0,0.0
train,0,greater_less_pair,KLOW,6.487633072538301e-05,False,1.0,1.5749311899071472e-07,5.274060640658718e-06,2.0192658212181414e-07,6.584038731104712e-06,1.0616124978167718,0.0,0.0,0.0,3.9623105863029195e-07,1.2689827771271748e-05,2.0461118634495143,1.893079399906128e-07,6.201922777515265e-06,1.0,0.0,0.0,0.0
train,0,greater_less_pair,KLOW2,0.05113130062818527,False,1.0,0.0002695213770493865,0.02083335444331169,0.00033376747160218656,0.010882856219920578,1.0,0.00030518052517436445,0.010217197038818404,0.9388341472449379,0.00036862283013761044,0.011805637456022033,1.0847921921831831,0.00034003594191744924,0.011139927112704617,1.0236216382527854,0.0,0.0,0.0
train,0,greater_relu_close,SUMP5,0.18054108321666718,False,1.0,0.0003152875870000571,0.04380536824464798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001576437964104116,0.051645728739121655,5.164572873912165e+18,0.0,0.0,0.0
train,0,greater_relu_close,SUMN5,0.14571645855903625,False,1.0,0.00023268460063263774,0.01693321391940117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011634229449555278,0.038114932012684566,3.811493201268457e+18,0.0,0.0,0.0
train,0,greater_relu_close,SUMD5,0.15251508355140686,False,1.0,0.0002527521864976734,0.03230727091431618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012637609615921974,0.04140210861426041,4.1402108614260413e+18,0.0,0.0,0.0
train,0,greater_relu_volume,VSUMP5,0.13727979362010956,False,1.0,4.8372975763877335e-11,5.396097790821841e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4186491698330315e-10,0.0014500254060543782,1.4500254060543782e+17
train,0,greater_relu_volume,VSUMN5,0.15381932258605957,False,1.0,7.036560917272894e-11,7.788071521019901e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.518280389247508e-10,0.00210927488519716,2.10927488519716e+17
train,0,greater_relu_volume,VSUMD5,0.08219822496175766,False,1.0,1.3759567096816028e-10,1.3764326567411445e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879783409630136e-10,0.0041245588060230265,4.1245588060230266e+17
