unit,split,batch_idx,factor_name,factor_grad_mean_abs
full_e2e,train,0,CNTD20,0.0004449301341082901
full_e2e,train,0,CNTD30,0.0012380193220451474
full_e2e,train,0,CNTD60,0.00040948126115836203
full_e2e,train,0,SUMP5,0.0007125770207494497
full_e2e,train,0,SUMP10,0.0007079566130414605
full_e2e,train,0,SUMP20,0.0014239165466278791
full_e2e,train,0,SUMP30,0.00032537750666961074
full_e2e,train,0,SUMP60,0.0008451648172922432
full_e2e,train,0,SUMN5,0.0013427513185888529
full_e2e,train,0,SUMN10,0.0013206133153289557
full_e2e,train,0,SUMN20,0.000978040974587202
full_e2e,train,0,SUMN30,0.00017132973880507052
full_e2e,train,0,SUMN60,0.0004314715042710304
full_e2e,train,0,SUMD5,4.798000372829847e-05
full_e2e,train,0,SUMD10,0.0010133886244148016
full_e2e,train,0,SUMD20,0.0012173670111224055
full_e2e,train,0,SUMD30,0.0012004401069134474
full_e2e,train,0,SUMD60,0.0002452420594636351
full_e2e,train,0,VMA5,0.0012494500260800123
full_e2e,train,0,VMA10,0.0005048866150900722
full_e2e,train,0,VMA20,0.00044361301115714014
full_e2e,train,0,VMA30,0.00034439610317349434
full_e2e,train,0,VMA60,6.697544449707493e-05
full_e2e,train,0,VSTD5,0.0009172464488074183
full_e2e,train,0,VSTD10,0.0005093450308777392
full_e2e,train,0,VSTD20,0.00047615932999178767
full_e2e,train,0,VSTD30,3.1067505915416405e-05
full_e2e,train,0,VSTD60,0.00033871227060444653
full_e2e,train,0,WVMA5,0.0009283696417696774
full_e2e,train,0,WVMA10,0.001041495823301375
full_e2e,train,0,WVMA20,0.0011211343808099627
full_e2e,train,0,WVMA30,0.0006169736152514815
full_e2e,train,0,WVMA60,0.0005064121796749532
full_e2e,train,0,VSUMP5,0.0007266173488460481
full_e2e,train,0,VSUMP10,0.00027055313694290817
full_e2e,train,0,VSUMP20,0.000782324350439012
full_e2e,train,0,VSUMP30,0.000346999557223171
full_e2e,train,0,VSUMP60,0.00029575792723335326
full_e2e,train,0,VSUMN5,0.0011182208545506
full_e2e,train,0,VSUMN10,0.0002507538883946836
full_e2e,train,0,VSUMN20,0.0006414675735868514
full_e2e,train,0,VSUMN30,0.0005961384158581495
full_e2e,train,0,VSUMN60,0.00018957869906444103
full_e2e,train,0,VSUMD5,0.0012346351286396384
full_e2e,train,0,VSUMD10,0.000232162608881481
full_e2e,train,0,VSUMD20,0.000523060210980475
full_e2e,train,0,VSUMD30,0.0005495205405168235
full_e2e,train,0,VSUMD60,0.0005716652958653867
full_e2e,test,0,KMID,0.0002802646777126938
full_e2e,test,0,KLEN,0.000537531275767833
full_e2e,test,0,KMID2,0.0002553482190705836
full_e2e,test,0,KUP,0.00026028972934000194
full_e2e,test,0,KUP2,0.0011896084761247039
full_e2e,test,0,KLOW,0.0011446515563875437
full_e2e,test,0,KLOW2,0.00020744337234646082
full_e2e,test,0,KSFT,1.714407335384749e-05
full_e2e,test,0,KSFT2,0.0006022279849275947
full_e2e,test,0,OPEN0,0.0004993866896256804
full_e2e,test,0,HIGH0,0.0011931989574804902
full_e2e,test,0,LOW0,8.946719754021615e-05
full_e2e,test,0,ROC5,0.0011658380972221494
full_e2e,test,0,ROC10,0.0005407386342994869
full_e2e,test,0,ROC20,0.0011971027124673128
full_e2e,test,0,ROC30,0.0004801039176527411
full_e2e,test,0,ROC60,0.0011963839642703533
full_e2e,test,0,MA5,0.0008387610432691872
full_e2e,test,0,MA10,0.00015297737263608724
full_e2e,test,0,MA20,0.000591797404922545
full_e2e,test,0,MA30,0.0010600928217172623
full_e2e,test,0,MA60,0.0010712842922657728
full_e2e,test,0,STD5,0.00014225312042981386
full_e2e,test,0,STD10,0.00027755810879170895
full_e2e,test,0,STD20,0.0009466925403103232
full_e2e,test,0,STD30,0.00037005930789746344
full_e2e,test,0,STD60,0.0006370015325956047
full_e2e,test,0,BETA5,0.0004681795253418386
full_e2e,test,0,BETA10,0.0003187950933352113
full_e2e,test,0,BETA20,0.00027879999834112823
full_e2e,test,0,BETA30,0.0010924771195277572
full_e2e,test,0,BETA60,0.0007183176930993795
full_e2e,test,0,RSQR5,0.0010525693651288748
full_e2e,test,0,RSQR10,0.0009070704691112041
full_e2e,test,0,RSQR20,0.000935113406740129
full_e2e,test,0,RSQR30,5.912566484767012e-05
full_e2e,test,0,RSQR60,0.0009345245780423284
full_e2e,test,0,RESI5,0.0007297717966139317
full_e2e,test,0,RESI10,0.0007724872557446361
full_e2e,test,0,RESI20,0.0004530482110567391
full_e2e,test,0,RESI30,0.0007899965858086944
full_e2e,test,0,RESI60,2.892286647693254e-05
full_e2e,test,0,MAX5,5.576932380790822e-05
full_e2e,test,0,MAX10,0.0008545707678422332
full_e2e,test,0,MAX20,0.0010021161288022995
full_e2e,test,0,MAX30,0.000910102971829474
full_e2e,test,0,MAX60,0.0007697775727137923
full_e2e,test,0,MIN5,0.0009278951329179108
full_e2e,test,0,MIN10,0.0004765393678098917
full_e2e,test,0,MIN20,0.0011182052548974752
full_e2e,test,0,MIN30,0.00047937972703948617
full_e2e,test,0,MIN60,0.00016786692140158266
full_e2e,test,0,QTLU5,9.86847317108186e-06
full_e2e,test,0,QTLU10,0.00026206456823274493
full_e2e,test,0,QTLU20,0.00016632955521345139
full_e2e,test,0,QTLU30,0.0003027144121006131
full_e2e,test,0,QTLU60,9.314879207522608e-06
full_e2e,test,0,QTLD5,0.00016914888692554086
full_e2e,test,0,QTLD10,0.001036962028592825
full_e2e,test,0,QTLD20,0.0006948360824026167
