datetime,instrument,label,clean_pred,fgsm_pred,pgd_pred,fgsm_abs_shift,pgd_abs_shift
2025-01-02 00:00:00,BJ920239,0.0625227689743042,0.14995405077934265,0.2855280637741089,0.33656027913093567,0.13557401299476624,0.18660622835159302
2025-01-02 00:00:00,SH601956,-0.04303276538848877,-0.12147453427314758,-0.2827390432357788,-0.2960663437843323,0.16126450896263123,0.1745918095111847
2025-01-02 00:00:00,SH603655,-0.029950857162475586,-0.004664331674575806,0.06888437271118164,0.08251041173934937,0.07354870438575745,0.08717474341392517
2025-01-02 00:00:00,SZ000009,0.0022934675216674805,0.08274662494659424,0.11349508166313171,0.20841816067695618,0.030748456716537476,0.12567153573036194
2025-01-02 00:00:00,SZ002690,0.009206771850585938,0.06064099073410034,0.15271258354187012,0.21886762976646423,0.09207159280776978,0.1582266390323639
2025-01-06 00:00:00,SZ000707,-0.01117318868637085,0.09765690565109253,0.21964550018310547,0.2828194200992584,0.12198859453201294,0.1851625144481659
2025-01-06 00:00:00,SZ002598,-0.0010833740234375,0.12377317249774933,0.22781243920326233,0.27866190671920776,0.104039266705513,0.15488873422145844
2025-01-06 00:00:00,SZ300572,-0.01348036527633667,0.022215083241462708,0.10544237494468689,0.11360928416252136,0.08322729170322418,0.09139420092105865
2025-01-06 00:00:00,SZ300847,0.0024584531784057617,0.15645667910575867,0.3560596704483032,0.4043421447277069,0.19960299134254456,0.24788546562194824
2025-01-06 00:00:00,SZ301377,-0.03202676773071289,0.054253846406936646,0.15343773365020752,0.17582350969314575,0.09918388724327087,0.1215696632862091
2025-01-07 00:00:00,SH603306,-0.009328961372375488,-0.04862523823976517,-0.19518111646175385,-0.2191472202539444,0.14655587077140808,0.17052197456359863
2025-01-07 00:00:00,SZ300071,0.03846156597137451,-0.017562828958034515,-0.13787391781806946,-0.15204554796218872,0.12031108886003494,0.1344827115535736
2025-01-08 00:00:00,SH688067,-0.02850055694580078,0.01763596385717392,0.13138803839683533,0.14621970057487488,0.11375207453966141,0.12858372926712036
2025-01-08 00:00:00,SH688320,0.01057577133178711,-0.03429313004016876,-0.15891912579536438,-0.1734311878681183,0.12462599575519562,0.13913805782794952
2025-01-08 00:00:00,SZ002229,-0.047697365283966064,-0.06076168268918991,-0.24329407513141632,-0.24783185124397278,0.182532399892807,0.18707016110420227
2025-01-09 00:00:00,SH688205,0.0038461685180664062,-0.0903969556093216,-0.15224555134773254,-0.17815576493740082,0.06184859573841095,0.08775880932807922
2025-01-10 00:00:00,SH688088,0.08725380897521973,-0.02898208424448967,-0.22049014270305634,-0.32396361231803894,0.19150805473327637,0.29498153924942017
2025-01-10 00:00:00,SZ002576,0.08404004573822021,-0.09882918745279312,-0.4987495541572571,-0.5640696883201599,0.39992037415504456,0.4652405083179474
2025-01-13 00:00:00,SH605303,-0.003816843032836914,0.015777021646499634,0.12277783453464508,0.15139515697956085,0.10700081288814545,0.13561813533306122
2025-01-13 00:00:00,SZ300415,-0.024940073490142822,0.1328098475933075,0.21702876687049866,0.26117104291915894,0.08421891927719116,0.12836119532585144
2025-01-13 00:00:00,SZ300717,-0.00709223747253418,0.014953769743442535,0.18043285608291626,0.205071359872818,0.16547909379005432,0.19011759757995605
2025-01-13 00:00:00,SZ301263,-0.011271178722381592,-0.09921236336231232,-0.33654600381851196,-0.5136809945106506,0.23733364045619965,0.4144686460494995
2025-01-14 00:00:00,SH600967,-0.027203500270843506,-0.17272436618804932,-0.3918623924255371,-0.41398847103118896,0.2191380262374878,0.24126410484313965
2025-01-14 00:00:00,SH601778,0.0037037134170532227,0.0023105889558792114,-0.181292325258255,-0.21621477603912354,0.18360291421413422,0.21852536499500275
2025-01-14 00:00:00,SZ000507,0.010060429573059082,-0.03017619624733925,-0.162030428647995,-0.20864476263523102,0.13185423612594604,0.17846857011318207
2025-01-14 00:00:00,SZ001211,0.010653853416442871,-0.0043323710560798645,-0.15629294514656067,-0.2047196328639984,0.1519605815410614,0.20038726925849915
2025-01-15 00:00:00,SH600684,-0.00309598445892334,0.07229962944984436,0.16511613130569458,0.20080113410949707,0.09281650185585022,0.1285015046596527
2025-01-15 00:00:00,SH603027,0.048932433128356934,0.08036614954471588,0.20725300908088684,0.2733575999736786,0.12688685953617096,0.1929914504289627
2025-01-16 00:00:00,SH600203,-0.03218644857406616,0.0018877610564231873,0.19425296783447266,0.1992868185043335,0.19236519932746887,0.1973990499973297
2025-01-17 00:00:00,SZ002977,0.0027195215225219727,0.08410081267356873,0.15198254585266113,0.20674243569374084,0.06788173317909241,0.12264162302017212
2025-01-20 00:00:00,SH603956,0.009259223937988281,-0.08453495800495148,-0.576327919960022,-0.6543501615524292,0.4917929768562317,0.5698152184486389
2025-01-20 00:00:00,SH605058,0.010330557823181152,0.05844748020172119,0.24813136458396912,0.28592944145202637,0.18968388438224792,0.22748196125030518
2025-01-20 00:00:00,SZ002011,-0.01798558235168457,0.11515341699123383,0.312523752450943,0.5816622376441956,0.19737033545970917,0.46650880575180054
2025-01-20 00:00:00,SZ002114,-0.008460164070129395,-0.01725444197654724,-0.4748428165912628,-0.5812125205993652,0.4575883746147156,0.5639580488204956
2025-01-20 00:00:00,SZ002956,-0.02987802028656006,-0.06582502275705338,-0.41036680340766907,-0.5006369948387146,0.3445417881011963,0.4348119795322418
2025-01-20 00:00:00,SZ300963,-0.010135173797607422,0.06211298704147339,0.10600277781486511,0.17200177907943726,0.043889790773391724,0.10988879203796387
2025-01-21 00:00:00,SZ301260,0.0007251501083374023,0.04789918661117554,0.06631729006767273,0.14164181053638458,0.018418103456497192,0.09374262392520905
2025-01-22 00:00:00,SH600692,0.019450783729553223,-0.057544223964214325,-0.40200328826904297,-0.4955487549304962,0.34445905685424805,0.4380045235157013
2025-01-22 00:00:00,SZ000952,-0.03092789649963379,-0.13199880719184875,-0.3979247510433197,-0.4515244960784912,0.26592594385147095,0.31952568888664246
2025-01-22 00:00:00,SZ300905,0.006296753883361816,0.06367504596710205,0.1499185860157013,0.19965782761573792,0.08624354004859924,0.13598278164863586
2025-01-22 00:00:00,SZ301203,-0.030943632125854492,-0.045917101204395294,-0.42760416865348816,-0.5379756689071655,0.38168707489967346,0.49205857515335083
2025-01-23 00:00:00,SZ301367,-0.012179911136627197,0.08924898505210876,0.16811120510101318,0.21597519516944885,0.07886222004890442,0.1267262101173401
2025-01-24 00:00:00,SH601598,-0.028355419635772705,0.11580473184585571,0.3633207082748413,0.4455249309539795,0.2475159764289856,0.3297201991081238
2025-01-24 00:00:00,SH603123,0.019736886024475098,0.09103944897651672,0.2279965877532959,0.2618846893310547,0.13695713877677917,0.17084524035453796
2025-01-24 00:00:00,SH603669,-0.0018382668495178223,-0.03672115504741669,-0.4574412405490875,-0.5099688768386841,0.42072010040283203,0.4732477068901062
2025-01-24 00:00:00,SH688472,-0.03663986921310425,0.07554773986339569,0.26483118534088135,0.3530643582344055,0.18928344547748566,0.27751660346984863
2025-01-24 00:00:00,SZ002429,0.00186920166015625,0.11873665452003479,0.20932626724243164,0.24027016758918762,0.09058961272239685,0.12153351306915283
2025-01-24 00:00:00,SZ300698,0.015847086906433105,-0.054198943078517914,-0.39258527755737305,-0.520773708820343,0.33838632702827454,0.4665747582912445
2025-02-05 00:00:00,SH600697,0.007161974906921387,0.08753359317779541,0.1272100955247879,0.2929825782775879,0.03967650234699249,0.20544898509979248
2025-02-05 00:00:00,SH688387,0.003395557403564453,-0.0036660730838775635,-0.407799631357193,-0.4803308844566345,0.40413355827331543,0.47666481137275696
2025-02-05 00:00:00,SZ000501,0.008495211601257324,0.12364831566810608,0.2587021291255951,0.2858060598373413,0.135053813457489,0.16215774416923523
2025-02-05 00:00:00,SZ000672,0.015625,0.0878828763961792,0.15883269906044006,0.2609846591949463,0.07094982266426086,0.1731017827987671
2025-02-05 00:00:00,SZ300584,0.01664149761199951,0.04670369625091553,0.1123339831829071,0.1266467273235321,0.06563028693199158,0.07994303107261658
2025-02-06 00:00:00,SH600755,-0.0015698075294494629,0.15402311086654663,0.2069225013256073,0.414153516292572,0.05289939045906067,0.2601304054260254
2025-02-06 00:00:00,SZ300043,0.047029733657836914,-0.21830812096595764,-0.7177582383155823,-0.773953378200531,0.49945011734962463,0.555645227432251
2025-02-06 00:00:00,SZ301188,0.008039474487304688,-0.005396232008934021,-0.23685571551322937,-0.316700279712677,0.23145948350429535,0.3113040328025818
2025-02-07 00:00:00,SH603012,-0.005395650863647461,-0.1007826030254364,-0.4143171012401581,-0.5086115598678589,0.3135344982147217,0.4078289568424225
2025-02-07 00:00:00,SH603798,0.03590869903564453,0.013449400663375854,-0.5196032524108887,-0.6383885145187378,0.5330526828765869,0.651837944984436
